License plate,Frame no.,Timestamp(seconds)
X5-NP-73,0,0.0
HX5-NP-73,24,2.0
7,48,4.0
T-9,72,6.0
77-F,96,8.0
DD-VK,120,10.0
99-S7G-T,144,12.0
79-S7G-5,168,14.0
9M-NJK-9,192,16.0
-FNJ4,192,16.0
M,192,16.0
2M-JT-MT,216,18.0
N7M-4P-,240,20.0
-M,240,20.0
MM-PF-ND,264,22.0
97-FB-FP,288,24.0
97-FB-FP,312,26.0
H67-FP-TVL,336,28.0
L,360,30.0
9,360,30.0
-,384,32.0
9,384,32.0
56-JTT-5,408,34.0
MMVTP-T,432,36.0
MM-PP-T4L,456,38.0
-JTT-5,480,40.0
B,480,40.0
7-HM-9D,504,42.0
--TN-,528,44.0
V7-K5-VH,552,46.0
DD-DM-H4,624,52.0
9T--44,648,54.0
93-PXM-7,672,56.0
RP-NH-93H,696,58.0
MD-HNN-2,720,60.0
4D-HNN-7,744,62.0
MD-J4--M,768,64.0
MT-7,792,66.0
--HP,816,68.0
M9-0MK-N,840,70.0
MT-7,864,72.0
--HP,888,74.0
-L-,912,76.0
M,912,76.0
4V4,912,76.0
DM-XJ-ND,936,78.0
MM-XJ-N1,960,80.0
M,984,82.0
67-0J-J4,1008,84.0
47-JF-JB,1032,86.0
VP-979-T,1056,88.0
-M,1080,90.0
M,1104,92.0
4-4XP-7H,1104,92.0
-,1128,94.0
-M,1152,96.0
Z-648-4,1152,96.0
M,1176,98.0
-,1176,98.0
M,1176,98.0
--BM-TBH,1200,100.0
B,1224,102.0
M-TM-M4,1248,104.0
M-PN-H4,1272,106.0
M,1272,106.0
01-BHD-4,1296,108.0
91-PHP-4,1320,110.0
--,1320,110.0
,1320,110.0
M7-KKHH,1344,112.0
,1392,116.0
44-4J-9F,1392,116.0
F,1416,118.0
,1416,118.0
-H,1440,120.0
M1-KT7-P,1440,120.0
M,1464,122.0
7M-K-9,1488,124.0
M,1512,126.0
M7-J7-KX,1536,128.0
NM-FBN-4,1560,130.0
9M-F4N-4,1584,132.0
M,1608,134.0
H,1608,134.0
--9M-N4H,1632,136.0
7,1632,136.0
--4M-N4,1656,138.0
T,1656,138.0
-X,1680,140.0
7D-TJ-KNL,1704,142.0
V,1704,142.0
7HHD-4VH,1728,144.0
-H7,1728,144.0
--7,1896,158.0
,1896,158.0
-L,2040,170.0
L,2040,170.0
M,2040,170.0
-FHHT,2040,170.0
